DUMP-DRG     161
 CBG   6-F    3    4  37.200  17.400   1.190   93   97   98   99
 HBT   1,F    0    1  36.136  17.171   1.246   96
 HBU   1,F    0    1  37.601  17.838   2.104   96
 CAX   6-F    3    4  37.370  18.410   0.050   96  100  101  102
 HBB   1,F    0    1  37.074  19.381   0.447   99
 HBC   1,F    0    1  38.403  18.374  -0.297   99
 CAO   6-F    3    4  36.440  18.120  -1.140   99  103  104  105
 HAT   1,F    0    1  36.735  17.152  -1.546  102
 HAU   1,F    0    1  35.402  18.172  -0.811  102
 CAC   6+F    3    4  36.680  19.160  -2.240  102  106  107  108
 HAH   1,F    0    1  37.718  19.109  -2.569  105
 HAI   1,F    0    1  36.472  20.156  -1.849  105
 HAG   1,F    0    1  35.991  18.892  -3.041  105
 OCD   8+F    3    2  30.350   9.660   5.830   54  110
 CCG   6+F    2    3  30.340  10.880   6.440  109  111  112
 OAE   8+F    2    1  30.040  11.050   7.620  110
 CCA   6-F    3    4  30.750  12.050   5.540  110  113  114  115
 HCX   1,F    0    1  30.851  11.651   4.531  112
 HCY   1,F    0    1  30.010  12.845   5.631  112
 CBX   6-F    3    4  32.130  12.600   5.940  112  116  117  118
 HCR   1,F    0    1  31.948  13.389   6.670  115
 HCS   1,F    0    1  32.728  11.776   6.330  115
 CBU   6-F    3    4  32.900  13.250   4.780  115  119  120  121
 HCL   1,F    0    1  33.925  13.376   5.129  118
 HCM   1,F    0    1  32.820  12.590   3.916  118
 CBR   6-F    3    4  32.420  14.650   4.350  118  122  123  124
 HCF   1,F    0    1  32.032  15.126   5.250  121
 HCG   1,F    0    1  33.273  15.177   3.922  121
 CBL   6-F    3    4  31.280  14.690   3.320  121  125  126  127
 HB3   1,F    0    1  30.501  14.025   3.694  124
 HB4   1,F    0    1  30.954  15.724   3.204  124
 CBC   6-F    3    4  31.690  14.150   1.940  124  128  129  130
 HBL   1,F    0    1  31.251  14.817   1.199  127
 HBM   1,F    0    1  32.777  14.090   1.893  127
 CAT   6-F    3    4  31.100  12.750   1.680  127  131  132  133
 HA3   1,F    0    1  31.577  12.371   0.776  130
 HA4   1,F    0    1  31.260  12.127   2.560  130
 CAK   6+F    2    3  29.600  12.830   1.390  130  134  135
 HAN   1,F    0    1  29.162  13.625   0.787  133
 CAH   6+F    2    3  28.760  11.710   2.010  133  136  137
 HAK   1,F    0    1  29.042  11.216   2.940  135
 CAQ   6+F    3    4  27.490  11.330   1.230  135  138  139  140
 HAX   1,F    0    1  27.277  10.273   1.389  137
 HAY   1,F    0    1  27.669  11.595   0.188  137
 CAZ   6+F    3    4  26.290  12.160   1.700  137  141  142  143
 HBF   1,F    0    1  26.488  13.221   1.546  140
 HBG   1,F    0    1  26.089  11.880   2.734  140
 CBI   6+F    3    4  25.080  11.730   0.870  140  144  145  146
 HBX   1,F    0    1  24.888  10.670   1.036  143
 HBY   1,F    0    1  25.298  11.987  -0.167  143
 CBO   6-F    3    4  23.840  12.540   1.280  143  147  148  149
 HB9   1,F    0    1  23.610  12.274   2.312  146
 HCA   1,F    0    1  24.023  13.602   1.117  146
 CBF   6-F    3    4  22.660  12.080   0.420  146  150  151  152
 HBR   1,F    0    1  22.901  12.336  -0.612  149
 HBS   1,F    0    1  22.487  11.017   0.586  149
 CAW   6-F    3    4  21.400  12.860   0.790  149  153  154  155
 HA9   1,F    0    1  21.161  12.609   1.823  152
 HBA   1,F    0    1  21.567  13.923   0.615  152
 CAN   6-F    3    4  20.230  12.380  -0.070  152  156  157  158
 HAR   1,F    0    1  20.474  12.623  -1.104  155
 HAS   1,F    0    1  20.057  11.319   0.112  155
 CAB   6+F    3    4  18.970  13.170   0.290  155  159  160  161
 HAE   1,F    0    1  19.141  14.231   0.108  158
 HAF   1,F    0    1  18.733  13.016   1.343  158
 HAD   1,F    0    1  18.189  12.773  -0.359  158
