DUMP-DRG       9
 CAA   6-F    3    4  -2.830  -1.070   0.050    2    3    4    5
 HAA   1,F    0    1  -3.367  -0.976  -0.894    1
 HAB   1,F    0    1  -1.963  -0.409   0.042    1
 HAC   1,F    0    1  -3.480  -0.868   0.902    1
 CAC   6+F    3    4  -2.370  -2.510   0.230    1    6    7    8
 HAD   1,F    0    1  -1.833  -2.604   1.174    5
 HAE   1,F    0    1  -1.768  -2.759  -0.644    5
 OAB   8+F    3    2  -3.510  -3.380   0.240    5    9
 HAF   1,F    0    1  -3.220  -4.320   0.360    8
