DUMP-DRG     155
 HBN   1,F    0    1  18.567   3.375   1.435   95
 HBO   1,F    0    1  17.208   2.154   1.547   95
 CAU   6-F    3    4  18.680   1.800   0.020   95   99  100  101
 HAZ   1,F    0    1  17.973   1.162  -0.511   98
 HA0   1,F    0    1  19.329   2.386  -0.630   98
 CAC   6+F    3    4  19.530   0.890   0.900   98  102  103  104
 HAH   1,F    0    1  18.881   0.304   1.551  101
 HAI   1,F    0    1  20.201   1.497   1.508  101
 HAG   1,F    0    1  20.081   0.255   0.207  101
 OCD   8+F    3    2  14.250   7.370   3.890   52  106
 CCG   6+F    2    3  13.440   7.460   4.990  105  107  108
 OAE   8+F    2    1  13.030   8.500   5.510  106
 CCA   6-F    3    4  13.060   6.100   5.580  106  109  110  111
 HCR   1,F    0    1  13.798   5.379   5.229  108
 HCS   1,F    0    1  12.982   6.176   6.665  108
 CBX   6-F    3    4  11.710   5.690   4.990  108  112  113  114
 HCL   1,F    0    1  10.941   6.180   5.587  111
 HCM   1,F    0    1  11.686   5.952   3.932  111
 CBU   6-F    3    4  11.500   4.190   5.140  111  115  116  117
 HCF   1,F    0    1  12.372   3.696   4.712  114
 HCG   1,F    0    1  11.307   3.945   6.184  114
 CBR   6-F    3    4  10.290   3.800   4.280  114  118  119  120
 HB9   1,F    0    1   9.404   3.936   4.900  117
 HCA   1,F    0    1  10.291   4.394   3.366  117
 CBO   6-F    3    4  10.360   2.320   3.920  117  121  122  123
 HB3   1,F    0    1  11.378   2.117   3.588  120
 HB4   1,F    0    1  10.035   1.719   4.769  120
 CBL   6-F    3    4   9.440   2.070   2.730  120  124  125  126
 HBX   1,F    0    1   8.419   2.111   3.109  123
 HBY   1,F    0    1   9.653   2.813   1.961  123
 CBC   6-F    3    4   9.630   0.670   2.130  123  127  128  129
 HBF   1,F    0    1   9.514  -0.040   2.949  126
 HBG   1,F    0    1   8.911   0.533   1.322  126
 CAQ   6+F    2    3  11.050   0.470   1.570  126  130  131
 HAT   1,F    0    1  11.814  -0.078   2.122  129
 CAK   6+F    2    3  11.330   1.080   0.200  129  132  133
 HAN   1,F    0    1  10.597   1.682  -0.337  131
 CAW   6-F    3    4  12.720   0.780  -0.360  131  134  135  136
 HA3   1,F    0    1  13.341   0.466   0.479  133
 HA4   1,F    0    1  12.637   0.040  -1.156  133
 CAH   6+F    2    3  13.340   2.060  -0.920  133  137  138
 HAK   1,F    0    1  13.924   2.739  -0.299  136
 CAN   6+F    2    3  13.090   2.330  -2.410  136  139  140
 HAQ   1,F    0    1  12.552   1.634  -3.053  138
 CAZ   6+F    3    4  13.660   3.660  -2.920  138  141  142  143
 HA9   1,F    0    1  13.941   3.558  -3.968  140
 HBA   1,F    0    1  14.484   3.928  -2.259  140
 CBI   6+F    3    4  12.600   4.750  -2.780  140  144  145  146
 HBR   1,F    0    1  12.209   4.745  -1.763  143
 HBS   1,F    0    1  11.849   4.566  -3.549  143
 CBF   6-F    3    4  13.220   6.120  -3.080  143  147  148  149
 HBL   1,F    0    1  14.034   6.265  -2.370  146
 HBM   1,F    0    1  13.522   6.164  -4.126  146
 CAT   6-F    3    4  12.180   7.200  -2.800  146  150  151  152
 HAX   1,F    0    1  11.400   7.098  -3.555  149
 HAY   1,F    0    1  11.826   7.108  -1.773  149
 CAB   6+F    3    4  12.820   8.580  -3.000  149  153  154  155
 HAE   1,F    0    1  13.174   8.672  -4.027  152
 HAF   1,F    0    1  13.660   8.693  -2.315  152
 HAD   1,F    0    1  12.027   9.296  -2.784  152
